System_Affiliation,Facility_Name,Current Year Market Share,Current Year Commercial Market Share,Hosp Lat,Hosp Long,Quality-Complications_Deaths,Likelihood to Recommend,Overall Hospital Linear Mean Score,Quality-Hosp Acq Infections,Quality-Readmissions,Total 2017-22 Pop Growth,2017 Household Income,CY Discharges,Estimated NR,Estimated CM,Estimated EBITDA,Current Liabilities,Current Assets,Total Liabilities,Fund Balance,EBITDAR
No Known Affiliation,Allendale County-South Carolina,3.94E-02,1.13E-02,32.916739,-81.290706,No Different than the National Rate,60,Not Available,Not Available,No Different than the National Rate,-8.67E-03,46322.13279,184,1019321,605648,97777,1243989,4878486,3459004,4368791,484227
Sutter Health,Alta Bates Summit Medical Center-Alta Bates Campus-California,0.1824960706,0.20122594,37.85931,-122.240902,No Different than the National Rate,64,84,No Different than National Benchmark,No Different than the National Rate,4.89E-03,98711.99269,20147,169199026,102595924,36297327,79619213,203587327,81945247,248788516,27586064
Sutter Health,Alta Bates Summit Medical Center-Herrick Campus-California,4.97E-03,6.88E-03,37.86642,-122.25973,No Different than the National Rate,76,89,No Different than National Benchmark,No Different than the National Rate,2.24E-02,110523.2712,1863,11135358,7488362,1354008,109482022,208848780,541441959,181541837,68027789
Sutter Health,Alta Bates Summit Medical Center-Summit-Hawthorne-California,0.1350963127,8.32E-02,37.834702,-122.264079,No Different than the National Rate,76,89,No Different than National Benchmark,No Different than the National Rate,4.35E-03,94742.73548,12750,181537966,104388661,37631660,109482022,208848780,541441959,181541837,68027789
Intermountain Healthcare,Alta View Hospital-Utah,8.19E-02,9.91E-02,40.571948,-111.862287,No Different than the National Rate,76,91,No Different than National Benchmark,No Different than the National Rate,9.32E-02,104465.3944,4081,40560847,25408659,12471448,-173486965,17269445,-173486965,220836762,21153547
BJC HealthCare,Alton Memorial Hospital - Alton Il-Illinois,0.4149348362,0.3581960104,38.941914,-90.129986,No Different than the National Rate,71,90,No Different than National Benchmark,No Different than the National Rate,2.08E-03,65015.8385,8241,72915770,42367766,11945986,11938090,21317648,12220090,75176586,17196668
Altus Health,Altus Baytown Hospital-Texas,4.04E-04,1.87E-03,29.803972,-94.960624,Not Available,Not Available,Not Available,Not Available,Not Available,4.09E-02,74133.35978,56,1160576,796021,574410,-,-,-,-,-
Prime Healthcare Services,Alvarado Hospital Medical Center-California,5.28E-02,1.85E-02,32.794475,-117.072742,No Different than the National Rate,62,83,Worse than the National Benchmark,No Different than the National Rate,4.18E-03,81751.88516,5965,82729215,43658969,10845652,54305085,32767375,125619737,-30826149,-6534386
No Known Affiliation,Alvarado Parkway Institute B.H.S.-California,1.01E-02,6.77E-03,32.777667,-117.022027,,,,,,7.79E-03,79568.92213,2555,14199030,8964320,-407474,,,,,
Intermountain Healthcare,American Fork Hospital-Utah,0.3355023825,0.3616175783,40.39218,-111.796464,No Different than the National Rate,75,90,No Different than National Benchmark,No Different than the National Rate,0.1661320953,87930.5577,8891,61919164,38727921,14680027,2595866,21277961,3070291,92504444,36952083
No Known Affiliation,American Recovery Center-California,1.33E-02,1.26E-04,34.063215,-117.789111,,,,,,-1.05E-02,63618.38348,1068,611754,-739406,-2843787,,,,,
Integrated Healthcare,Anaheim Global Medical Center-California,3.04E-02,9.82E-03,33.829709,-117.905685,No Different than the National Rate,59,84,No Different than National Benchmark,No Different than the National Rate,2.48E-03,81955.58649,6133,31447491,16538189,-3108117,10526786,15666829,9356306,7185965,342476
No Known Affiliation,Anderson County Hospital-Kansas,0.1079234973,1.71E-02,38.278529,-95.273821,No Different than the National Rate,91,Not Available,Not Available,No Different than the National Rate,-2.97E-03,54629.21416,110,681904,386083,29426,4996240,4226199,5383574,1603888,1070170
Saint Luke's Health System,Anderson Hospital - Maryville Il-Illinois,0.3574221889,0.3547740244,38.726649,-89.962479,No Different than the National Rate,71,89,No Different than National Benchmark,No Different than the National Rate,3.37E-02,78080.17047,8979,84114514,52881686,21238348,22257911,32237910,74031993,103827660,22358895
No Known Affiliation,Angleton Danbury Medical Center-Texas,0.1211532232,8.49E-02,29.166024,-95.461977,,,,,,4.39E-03,81077.38346,2112,14123911,7901275,1653438,,,,,
AnMed Health,Anmed Health-South Carolina,0.7509574578,0.6903851058,34.505802,-82.602297,No Different than the National Rate,69,89,Better than the National Benchmark,No Different than the National Rate,4.26E-02,57931.33582,20572,201458912,113898777,29854311,77687843,135377355,357926331,492027393,36909126
AnMed Health,Anmed Healthsouth Rehab Hospital-South Carolina,3.71E-02,1.94E-02,34.505802,-82.602297,,,,,,4.47E-02,57445.42677,1476,18300530,11365730,2889557,,,,,
University of Miami,Anne Bates Leach Eye Hospital-Florida,3.01E-04,4.99E-04,25.78709,-80.204692,No Different than the National Rate,Not Available,Not Available,Not Available,Not Available,6.98E-02,81127.568,62,857343,496312,277766,8417677,13055828,12790591,71919829,3298655
No Known Affiliation,Anson General Hospital-Texas,6.46E-02,1.79E-02,32.753587,-99.907878,No Different than the National Rate,71,Not Available,Not Available,No Different than the National Rate,-1.97E-02,48899.18223,371,2083212,1211777,126277,1482640,2915430,1490698,1676277,1250195
No Known Affiliation,Antelope Valley Hospital-California,0.5594226982,0.5530873044,34.71877,-118.148627,No Different than the National Rate,56,82,No Different than National Benchmark,No Different than the National Rate,6.50E-02,72226.36145,24903,219783656,126684369,36402752,174220556,185535550,297115712,59458231,28211225
No Known Affiliation,Anthony Medical Center-Kansas,0.1832298137,0.1146496815,37.117056,-98.055545,No Different than the National Rate,73,Not Available,Not Available,No Different than the National Rate,-3.42E-02,63230.07548,161,945108,594310,155563,2414327,4204748,3260305,3713417,-151851
No Known Affiliation,Apollo Hospital-Texas,3.14E-04,7.76E-04,30.136519,-95.468647,,,,,,0.1029864515,85698.82919,61,806577,515746,290943,,,,,
No Known Affiliation,Appling Healthcare System/Appling Hosp.-Georgia,2.95E-02,2.40E-02,31.779751,-82.340148,No Different than the National Rate,51,84,Not Available,No Different than the National Rate,3.40E-02,51195.10214,1419,10626870,6536619,868264,3399608,5665156,8929568,11192368,2200757
No Known Affiliation,Arbuckle Memorial Hospital-Oklahoma,0.2626689189,0.1362007168,34.474335,-96.963714,No Different than the National Rate,85,93,Not Available,No Different than the National Rate,6.50E-03,57812.47163,561,4975485,3134394,854670,1451935,9142145,14961935,6912313,1960394
No Known Affiliation,Arise Austin Medical Center-Texas,2.99E-03,5.91E-03,30.295017,-97.812579,No Different than the National Rate,74,89,Not Available,No Different than the National Rate,0.1127604071,98752.2761,916,29166900,18609875,13803576,5987320,-530618,52514030,-470695,4115024
QHR,Arkansas Valley Reg. Med. Ctr.-Colorado,0.479130932,0.2441471572,37.920115,-103.525523,No Different than the National Rate,56,86,Not Available,No Different than the National Rate,-9.12E-03,48093.89193,1342,9353356,4973496,275604,4023947,10882800,4598359,27551408,1236826
Orlando Health Systems,Arnold Palmer Medical Center-Florida,0.1289393793,0.1936163122,28.512535,-81.359927,,,,,,0.1001217508,70308.05974,37543,280795117,175486150,64559836,,,,,
No Known Affiliation,Arrowhead Regional Medical Center-California,0.1159985981,1.91E-02,34.037721,-117.294532,No Different than the National Rate,65,87,No Different than National Benchmark,No Different than the National Rate,4.58E-02,66982.30395,22818,144414975,66413737,-17688376,110371559,214201717,515368756,134723538,120493644
Great Plains Health Alliance Inc.,Ashland Health Center-Kansas,0.2610619469,4.55E-02,37.137367,-99.732171,Not Available,Not Available,Not Available,Not Available,No Different than the National Rate,-2.43E-02,59907.89616,85,552886,290667,-3790,1219078,2356719,10424048,1650172,-520350
No Known Affiliation,Aspen Valley Hospital-Colorado,0.2385705087,0.3310238645,39.117764,-106.791771,No Different than the National Rate,87,93,Not Available,No Different than the National Rate,7.34E-02,106165.821,1004,10658211,7132850,3935214,16759520,68579683,77599921,148958094,29517086
Aspire Health Partners,Aspire Health Partners Inc.-Florida,1.46E-02,1.54E-02,28.579298,-81.442397,,,,,,6.65E-02,64827.29877,2501,12172395,7748473,-235738,6351885,20325209,23258481,48793186,2446463
No Known Affiliation,Aspire Hospital-Texas,3.48E-03,1.10E-04,30.324036,-95.515348,Not Available,Not Available,Not Available,Not Available,Not Available,8.00E-02,91322.73551,785,1742722,512926,-1870904,1316616,3139708,1316616,6939662,1069353
Franciscan Missionaries of Our Lady Health System Inc.,Assumption Community Hospital-Louisiana,5.57E-02,5.92E-02,29.91612,-91.034503,Not Available,Not Available,Not Available,Not Available,No Different than the National Rate,-3.10E-02,65133.65223,67,400797,252307,67429,2631769,12188903,3998710,9519315,2467857
No Known Affiliation,Atchison Hospital-Kansas,0.4225430316,0.3556485356,39.535025,-95.140607,No Different than the National Rate,70,92,Not Available,No Different than the National Rate,-2.52E-03,54936.98165,1028,8160694,4917809,1502567,5763297,18489771,37257083,12248429,6408581
No Known Affiliation,Athens Regional Medical Center-Georgia,0.418912993,0.3292579705,33.939802,-83.434532,No Different than the National Rate,78,89,No Different than National Benchmark,No Different than the National Rate,7.79E-02,64266.65783,22034,263414499,150901044,50859937,262484447,128659867,263011263,96975644,52617022
WellStar Health System,Atlanta Medical Center-Georgia,8.85E-02,6.56E-02,33.745163,-84.376428,No Different than the National Rate,59,83,No Different than National Benchmark,No Different than the National Rate,7.11E-02,62152.77369,20566,224555271,132344230,45312601,30789895,101740070,236623152,136161810,12475938
Universal Health Services Inc.,Atlantic Shores Hospital-Florida,4.90E-03,7.86E-03,26.189501,-80.108822,,,,,,2.27E-02,67272.58374,1353,7061503,4680710,343167,,,,,
No Known Affiliation,Atoka Memorial Hospital-Oklahoma,0.3548199768,0.1181818182,34.324268,-96.085095,No Different than the National Rate,43,Not Available,Not Available,No Different than the National Rate,2.87E-02,48605.83186,824,5841760,3499048,567090,3140319,2278664,19454261,-5625913,434251
No Known Affiliation,Atrium Medical Center-Texas,1.22E-03,3.83E-04,29.625905,-95.566556,,,,,,6.21E-02,88650.27388,301,4913057,2823501,724985,5863216,3519292,5863216,4852527,4704277
SSM Health Care,Audrain Medical Center - Mexico Mo-Missouri,0.1345068643,9.15E-02,39.195491,-91.887813,No Different than the National Rate,67,89,Not Available,No Different than the National Rate,2.88E-02,63399.85178,2222,19452065,11423657,3195425,8762598,-4567299,13767832,-4198101,1475370
Augusta Health,Augusta Health-Virginia,0.6226605969,0.6884205756,38.102392,-78.973758,No Different than the National Rate,73,90,No Different than National Benchmark,No Different than the National Rate,4.26E-02,72071.28048,11753,138216012,87753930,41123605,34207036,431183899,52855234,522070812,33208771
Aurora Behavioral Health Care,Aurora Behavioral Healthcare - Santa Rosa-California,4.63E-03,6.34E-03,38.451371,-122.793282,,,,,,3.91E-02,86457.51117,1927,10408540,6848199,368482,,,,,
Aurora Behavioral Health Care,Aurora Charter Oak-California,7.45E-03,7.99E-03,34.080662,-117.855446,,,,,,4.06E-02,79209.0121,6369,34966578,22960811,752018,1889198,14063505,2667870,14096981,9323339
Aurora Behavioral Health Care,Aurora Las Encinas Hospital-California,4.61E-03,5.68E-03,34.158837,-118.087218,,,,,,6.83E-03,87477.76558,5278,24268424,15239023,-1723716,2308152,2994413,2786836,2541642,3112873
Aurora Behavioral Health Care,Aurora San Diego-California,9.74E-03,1.93E-02,32.997101,-117.072677,,,,,,3.02E-02,95275.22357,3247,18615277,13159718,3122494,1120207,3741372,1195125,4642468,5499068
Aurora Behavioral Health Care,Aurora Vista Del Mar Hospital-California,1.29E-02,1.98E-02,34.347584,-119.325806,,,,,,3.72E-02,99644.67004,3308,16151507,10671170,370707,1383326,2451816,2152394,2464737,3415225
Universal Health Services Inc.,Austin Lakes Hospital-Texas,1.89E-02,0,30.292885,-97.738671,,,,,,8.38E-02,77141.10961,2732,5040068,1219589,-6242371,,,,,
Universal Health Services Inc.,Austin Oaks Hospital-Texas,1.05E-02,2.98E-05,30.207102,-97.797013,,,,,,9.25E-02,74340.36128,2173,3910149,872215,-5044518,807767,1178268,23188048,-8414721,2131965
No Known Affiliation,Austin State Hospital-Texas,2.13E-03,0,30.310205,-97.723861,,,,,,8.93E-02,81161.94549,974,2040256,572734,-2246344,38578044,-308243545,38578044,-346850502,-37101944
HCA,Aventura Hospital And Medical Center-Florida,0.138544848,0.1093814179,25.961657,-80.142205,No Different than the National Rate,64,85,No Different than National Benchmark,No Different than the National Rate,1.76E-02,62014.37089,23464,263083312,149885433,47173837,24387386,10908607,-356777965,478098655,100499422
Progressive Acute Care,Avoyelles Hospital-Louisiana,0.223148445,0.1179487179,31.171668,-91.960925,No Different than the National Rate,68,88,Not Available,No Different than the National Rate,1.65E-02,47118.17817,969,7460807,4212287,658293,-11812461,2571961,-9631589,16368462,3185731
No Known Affiliation,Bacon County Hospital And Health System-Georgia,0.2613771742,0.1596091205,31.555677,-82.445787,No Different than the National Rate,79,91,Not Available,No Different than the National Rate,1.48E-02,50033.95167,1497,8001279,3978851,-367845,3753837,12474799,16392983,28194111,4840573
Ardent Health Systems,Bailey Medical Center-Oklahoma,3.27E-02,4.44E-02,36.275851,-95.81838,No Different than the National Rate,85,94,Not Available,No Different than the National Rate,6.40E-02,73510.28324,1840,18048991,11480190,6074397,5564595,5185627,5564595,2039642,4777869
No Known Affiliation,Bakersfield Heart Hospital-California,4.12E-02,2.12E-02,35.554822,-118.926658,No Different than the National Rate,80,91,No Different than National Benchmark,No Different than the National Rate,7.95E-02,72442.54158,3224,40190459,22568472,6608238,12903606,18504863,41811715,26593613,-709530
Dignity Health,Bakersfield Memorial Hospital-California,0.2315019898,0.1849734311,35.38446,-119.020627,No Different than the National Rate,69,88,No Different than National Benchmark,No Different than the National Rate,7.90E-02,71868.48747,17734,172043952,97860528,29665202,60076945,326133802,118490998,424855409,82761429
Vibra Healthcare,Ballard Rehabilitation Hospital-California,3.41E-03,1.31E-03,34.122344,-117.323943,,,,,,5.14E-02,68518.21578,1263,11255351,6327067,583350,,,,,
Banner Health,Banner Fort Collins Medical Center-Colorado,4.34E-02,5.44E-02,40.494612,-104.999631,Not Available,83,93,Not Available,No Different than the National Rate,8.08E-02,80829.64186,1289,14117359,8529901,3740493,1914746,5307054,95658848,-9805117,-4512738
Banner Health,Banner Lassen Medical Center-California,0.7654941374,0.795620438,40.536525,-120.634036,No Different than the National Rate,72,92,Not Available,No Different than the National Rate,-2.12E-03,62721.77461,1319,7465266,4361804,697777,4030779,7301029,22515129,1907801,10163930
Tenet,Baptist Emergency Hospital Hausman-Texas,6.92E-04,7.50E-04,29.567545,-98.613965,,,,,,0.1136879053,87450.18983,58,305165,202953,73427,,,,,
Tenet,Baptist Emergency Hospital Overlook-Texas,5.86E-03,3.49E-03,29.634642,-98.494441,,,,,,0.191457602,115802.8864,68,372121,240479,74340,,,,,
Tenet,Baptist Emergency Hospital Schertz-Texas,5.18E-03,3.60E-03,29.550783,-98.267907,No Different than the National Rate,90,95,Not Available,No Different than the National Rate,0.1589914993,88052.8968,85,458769,300078,100756,3360422,89454832,3376686,92630563,39966273
Tenet,Baptist Emergency Hospital Thousand Oaks-Texas,1.01E-03,4.99E-04,29.587181,-98.474753,No Different than the National Rate,90,95,Not Available,No Different than the National Rate,5.87E-02,79541.21143,48,243924,155409,41405,3360422,89454832,3376686,92630563,39966273
Tenet,Baptist Emergency Hospital Westover Hills-Texas,1.64E-03,2.28E-03,29.463305,-98.677067,No Different than the National Rate,90,95,Not Available,No Different than the National Rate,5.64E-02,57703.14068,92,508631,340109,127406,3360422,89454832,3376686,92630563,39966273
Baptist Health - KY,Baptist Health Corbin-Kentucky,0.2430821338,0.2685863874,36.917585,-84.162826,No Different than the National Rate,70,88,No Different than National Benchmark,No Different than the National Rate,2.26E-02,49599.2201,9679,76914539,44517594,7513954,18465008,30081246,78233664,-4280243,23353675
Baptist Health - KY,Baptist Health La Grange-Kentucky,0.1588607595,0.1156726052,38.425789,-85.389612,No Different than the National Rate,74,89,Not Available,No Different than the National Rate,6.80E-02,83268.25098,2413,22233892,12616775,3651772,4916512,20676286,11052140,34346954,17799077
Baptist Health - KY,Baptist Health Lexington-Kentucky,0.1871461291,0.2702270422,38.004829,-84.534981,No Different than the National Rate,85,92,No Different than National Benchmark,No Different than the National Rate,5.58E-02,68095.30722,21948,305861895,185170607,86248884,44948466,88129103,69727561,366719792,82167378
Baptist Health - KY,Baptist Health Louisville-Kentucky,0.2458242239,0.2892542453,38.265238,-85.657784,No Different than the National Rate,80,91,No Different than National Benchmark,No Different than the National Rate,5.89E-02,80704.98448,31019,436663901,264753737,124860011,36638850,135554547,36638850,294977948,63674355
Baptist Health - KY,Baptist Health Madisonville-Kentucky,0.3809754034,0.3199453552,37.332362,-87.476835,No Different than the National Rate,63,86,No Different than National Benchmark,No Different than the National Rate,7.72E-03,53480.82156,8605,84921299,48749708,12494862,26825264,45360207,28224318,87588166,30958823
Baptist Health - KY,Baptist Health Paducah-Kentucky,0.3130319244,0.3752167744,37.00946,-88.586804,No Different than the National Rate,76,90,No Different than National Benchmark,No Different than the National Rate,9.42E-03,58605.92351,11972,140459591,82525775,31862946,26374848,84552997,40347868,168262741,41244696
Baptist Health- South Florida,Baptist Hospital Of Miami-Florida,0.1913692372,0.2499433171,25.657957,-80.359028,No Different than the National Rate,80,90,No Different than National Benchmark,No Different than the National Rate,5.01E-02,75423.71496,32945,427368863,261799900,116313219,136829769,131984327,400663751,187571457,166137302
Memorial Hermann,Baptist Hospital Of Southeast Texas-Texas,0.4067847674,0.2906884428,30.079562,-94.097306,No Different than the National Rate,72,88,Better than the National Benchmark,No Different than the National Rate,8.93E-03,64487.96845,18351,161588661,93125576,23509599,34169525,66160888,120720742,93432201,23045857
Baptist  Health Care - Pensacola,Baptist Hospital-Florida,0.2600186393,0.2673503669,30.427846,-87.222547,No Different than the National Rate,77,90,No Different than National Benchmark,No Different than the National Rate,5.29E-02,68304.51651,19900,216367430,122322404,38606970,56649117,168121733,262653359,143719648,41321830
Baptist Health- Jacksonville,Baptist Medical Center - Beaches-Florida,0.3053248408,0.2894776915,30.278846,-81.410585,No Different than the National Rate,79,90,No Different than National Benchmark,No Different than the National Rate,6.42E-02,101816.678,8832,77689575,46717651,16033605,14309000,21476000,26487000,156631000,22689941
Baptist Health- Jacksonville,Baptist Medical Center - Nassau-Florida,0.3968529302,0.3417903303,30.621505,-81.497121,No Different than the National Rate,81,92,No Different than National Benchmark,No Different than the National Rate,0.1009624733,80305.54123,4434,34689795,20057978,5162395,6735000,11924000,10539000,108973000,19308774
Baptist Health- Jacksonville,Baptist Medical Center Jacksonville-Florida,0.1906140636,0.2492387652,30.289928,-81.639528,No Different than the National Rate,83,92,No Different than National Benchmark,No Different than the National Rate,7.88E-02,70731.92952,39330,518259660,307027687,134368855,142439000,243107000,997570000,1266540000,116776526
Baptist Health- Jacksonville,Baptist Medical Center South-Florida,0.1818877956,0.2414252874,30.137988,-81.548727,No Different than the National Rate,69,89,No Different than National Benchmark,No Different than the National Rate,0.1157535664,83395.36946,17033,162443482,104307716,45287183,87300071,218917036,531562975,158703164,32237303
Tenet,Baptist Medical Center-Texas,0.1204283132,6.77E-02,29.424299,-98.487663,No Different than the National Rate,68,87,No Different than National Benchmark,No Different than the National Rate,1.72E-02,54821.6028,17691,175247988,94459910,16771964,108829629,238715734,338599236,1602697604,271387171
Baptist Memorial Health Care Corporation,Baptist Memorial Hospital For Women-Tennessee,9.08E-02,0.1130107918,35.123716,-89.849079,No Different than the National Rate,74,89,No Different than National Benchmark,No Different than the National Rate,4.61E-02,70033.78143,11179,70574935,44971455,15358712,145635496,204417121,297430513,246781656,31945081
Baptist Memorial Health Care Corporation,Baptist Memorial Hospital-Collierville-Tennessee,2.36E-02,1.83E-02,35.123716,-89.849079,No Different than the National Rate,74,89,No Different than National Benchmark,No Different than the National Rate,6.94E-02,80811.9605,2556,37237367,20256487,8753433,145635496,204417121,297430513,246781656,31945081
Baptist Memorial Health Care Corporation,Baptist Memorial Hospital-Huntingdon-Tennessee,0.1238115817,5.79E-02,35.97881,-88.429436,No Different than the National Rate,83,Not Available,Not Available,No Different than the National Rate,-4.17E-03,50961.92158,825,6676994,3869412,482870,30695116,3724561,30954923,-19822275,-2569349
Baptist Memorial Health Care Corporation,Baptist Memorial Hospital-Memphis-Tennessee,0.1492427807,0.1176803479,35.123716,-89.849079,No Different than the National Rate,74,89,No Different than National Benchmark,No Different than the National Rate,4.29E-02,70440.99513,25522,426334110,247980035,104239129,145635496,204417121,297430513,246781656,31945081
Baptist Memorial Health Care Corporation,Baptist Memorial Hospital-Tipton-Tennessee,0.1131596917,5.12E-02,35.559844,-89.629833,No Different than the National Rate,67,89,No Different than National Benchmark,No Different than the National Rate,4.70E-02,60731.31273,1633,7835358,4066982,-355928,38647908,17300684,38647908,4242179,-7524404
Baptist Memorial Health Care Corporation,Baptist Memorial Hospital-Union City-Tennessee,0.2978189236,0.2866666667,36.435267,-89.114563,No Different than the National Rate,73,89,Not Available,No Different than the National Rate,-1.49E-03,53298.49472,2625,20657294,11868177,2580399,19288061,12685492,19288061,13384364,-2236013
Baptist Memorial Health Care Corporation,Baptist Memorial Rehabilitation Hospital-Tennessee,9.02E-03,3.56E-03,35.084818,-89.799012,,,,,,4.63E-02,75064.40897,1184,15227374,9536285,2623940,1533179,7741359,2711166,11751873,6459789
Baptist Memorial Health Care Corporation,Baptist Memorial Restorative Care Hospital-Tennessee,1.53E-03,9.11E-04,35.123716,-89.849079,No Different than the National Rate,74,89,No Different than National Benchmark,No Different than the National Rate,4.70E-02,70393.12449,248,6088807,3630158,1260039,145635496,204417121,297430513,246781656,31945081
No Known Affiliation,Baptist St. Anthony'S Health System-Texas,0.4378872902,0.4735954403,35.201314,-101.893734,No Different than the National Rate,83,92,No Different than National Benchmark,No Different than the National Rate,2.75E-02,71034.49955,22517,309788611,205803093,111345169,90252722,62535008,91850660,27039324,126837481
No Known Affiliation,Barlow Respiratory Hospital-California,1.25E-03,5.89E-04,34.07874,-118.263756,,,,,,1.05E-02,86199.70933,822,22058815,13837800,5764706,,,,,
BJC HealthCare,Barnes-Jewish Hospital - St. Louis Mo-Missouri,0.1186879513,0.1095164808,38.626298,-90.267199,No Different than the National Rate,78,90,Better than the National Benchmark,No Different than the National Rate,2.43E-02,77449.23534,57319,1139113816,672089245,333957078,120999737,359412362,128367941,1212792526,136942799
BJC HealthCare,Barnes-Jewish St. Peters Hospital - St. Peters Mo-Missouri,0.1260195601,8.47E-02,38.791591,-90.622051,No Different than the National Rate,81,91,No Different than National Benchmark,No Different than the National Rate,6.61E-02,88396.94569,4959,65048011,40353282,17920565,5440559,16381050,5487287,91366126,12949770
BJC HealthCare,Barnes-Jewish West County Hospital - St. Louis Mo-Missouri,6.13E-03,9.68E-03,38.65737,-90.459253,No Different than the National Rate,79,91,Better than the National Benchmark,No Different than the National Rate,2.95E-02,82260.30617,2538,45628908,29540236,18329362,8416304,18411524,9146313,57958221,16055807
Community Health Systems,Barrow Regional Medical Center-Georgia,0.1377895045,5.06E-02,33.996751,-83.701132,No Different than the National Rate,55,85,No Different than National Benchmark,No Different than the National Rate,0.12809688,66616.56842,1339,10241037,5551510,464250,25709540,8215516,25709540,-9278759,-3413842
